computer,description,deviceid,name,service
curtislaptop,Intel(R) 82801G (ICH7 Family) USB Universal Host Controller - 27CA,PCI\VEN_8086&DEV_27CA&SUBSYS_01BD1028&REV_01\3&61AAA01&0&EA,Intel(R) 82801G (ICH7 Family) USB Universal Host Controller - 27CA,usbuhci
curtislaptop,USB Root Hub,USB\ROOT_HUB\4&2263344D&0,USB Root Hub,usbhub
curtislaptop,Intel(R) 82801G (ICH7 Family) USB Universal Host Controller - 27CB,PCI\VEN_8086&DEV_27CB&SUBSYS_01BD1028&REV_01\3&61AAA01&0&EB,Intel(R) 82801G (ICH7 Family) USB Universal Host Controller - 27CB,usbuhci
curtislaptop,USB Root Hub,USB\ROOT_HUB\4&27A8915E&0,USB Root Hub,usbhub
curtislaptop,Dell Wireless 350 Bluetooth Internal Card,USB\VID_413C&PID_8103\5&2CD8A58F&0&2,Dell Wireless 350 Bluetooth Internal Card,tosrfusb
curtislaptop,Bluetooth RFBUS from TOSHIBA,BLUETOOTH\TOSRFBD\6&1E7B0289&0&TOSRFBD,Bluetooth RFBUS from TOSHIBA,tosrfbd
curtislaptop,Bluetooth RFHID from TOSHIBA,BLUETOOTH\0004&0004\0,Bluetooth RFHID from TOSHIBA,Tosrfhid
curtislaptop,Bluetooth RFBNEP from TOSHIBA,BLUETOOTH\0004&0006\0,Bluetooth RFBNEP from TOSHIBA,tosrfbnp
curtislaptop,Bluetooth Personal Area Network from TOSHIBA,BLUETOOTH\0004&0007\0000,Bluetooth Personal Area Network from TOSHIBA,tosrfnds
curtislaptop,Intel(R) 82801G (ICH7 Family) USB2 Enhanced Host Controller - 27CC,PCI\VEN_8086&DEV_27CC&SUBSYS_01BD1028&REV_01\3&61AAA01&0&EF,Intel(R) 82801G (ICH7 Family) USB2 Enhanced Host Controller - 27CC,usbehci
curtislaptop,USB Root Hub,USB\ROOT_HUB20\4&1A83CD01&0,USB Root Hub,usbhub
curtislaptop,Intel(R) 82801 PCI Bridge - 2448,PCI\VEN_8086&DEV_2448&SUBSYS_00000000&REV_E1\3&61AAA01&0&F0,Intel(R) 82801 PCI Bridge - 2448,pci
curtislaptop,Broadcom 440x 10/100 Integrated Controller,PCI\VEN_14E4&DEV_170C&SUBSYS_01AF1028&REV_02\4&2FE911E8&0&00F0,Broadcom 440x 10/100 Integrated Controller,bcm4sbxp
curtislaptop,OHCI Compliant IEEE 1394 Host Controller,PCI\VEN_1180&DEV_0832&SUBSYS_01BD1028&REV_00\4&2FE911E8&0&08F0,OHCI Compliant IEEE 1394 Host Controller,ohci1394
curtislaptop,1394 Net Adapter,V1394\NIC1394\2A9C8541334FC000,1394 Net Adapter,NIC1394
curtislaptop,SDA Standard Compliant SD Host Controller,PCI\VEN_1180&DEV_0822&SUBSYS_01BD1028&REV_19\4&2FE911E8&0&09F0,SDA Standard Compliant SD Host Controller,sdbus
curtislaptop,Ricoh MMC Host Controller,PCI\VEN_1180&DEV_0843&SUBSYS_01BD1028&REV_01\4&2FE911E8&0&0AF0,Ricoh MMC Host Controller,rimmptsk
curtislaptop,Ricoh Memory Stick Host Controller,PCI\VEN_1180&DEV_0592&SUBSYS_01BD1028&REV_0A\4&2FE911E8&0&0BF0,Ricoh Memory Stick Host Controller,rimsptsk
curtislaptop,Ricoh xD-Picture Card Host Controller,PCI\VEN_1180&DEV_0852&SUBSYS_01BD1028&REV_05\4&2FE911E8&0&0CF0,Ricoh xD-Picture Card Host Controller,rismxdp
curtislaptop,Intel(R) 82801GBM (ICH7-M) LPC Interface Controller - 27B9,PCI\VEN_8086&DEV_27B9&SUBSYS_00000000&REV_01\3&61AAA01&0&F8,Intel(R) 82801GBM (ICH7-M) LPC Interface Controller - 27B9,isapnp
curtislaptop,ISAPNP Read Data Port,ISAPNP\READDATAPORT\0,ISAPNP Read Data Port,
curtislaptop,Synaptics PS/2 Port Pointing Device,ACPI\PNP0F13\4&25E2FF18&0,Synaptics PS/2 Port Pointing Device,i8042prt
curtislaptop,Standard 101/102-Key or Microsoft Natural PS/2 Keyboard,ACPI\PNP0303\4&25E2FF18&0,Standard 101/102-Key or Microsoft Natural PS/2 Keyboard,i8042prt
curtislaptop,System CMOS/real time clock,ACPI\PNP0B00\4&25E2FF18&0,System CMOS/real time clock,
curtislaptop,System timer,ACPI\PNP0100\4&25E2FF18&0,System timer,
curtislaptop,System speaker,ACPI\PNP0800\4&25E2FF18&0,System speaker,
curtislaptop,System board,ACPI\PNP0C01\4,System board,
curtislaptop,Programmable interrupt controller,ACPI\PNP0000\4&25E2FF18&0,Programmable interrupt controller,
curtislaptop,Direct memory access controller,ACPI\PNP0200\4&25E2FF18&0,Direct memory access controller,
curtislaptop,Numeric data processor,ACPI\PNP0C04\4&25E2FF18&0,Numeric data processor,
curtislaptop,Intel(R) 82801GBM/GHM (ICH7-M Family) Serial ATA Storage Controller - 27C4,PCI\VEN_8086&DEV_27C4&SUBSYS_01BD1028&REV_01\3&61AAA01&0&FA,Intel(R) 82801GBM/GHM (ICH7-M Family) Serial ATA Storage Controller - 27C4,pciide
curtislaptop,Primary IDE Channel,PCIIDE\IDECHANNEL\4&7F93616&0&0,Primary IDE Channel,atapi
curtislaptop,Disk drive,IDE\DISKTOSHIBA_MK6032GSX_______________________AS312D__\5&19C84639&0&0.0.0,TOSHIBA MK6032GSX,disk
curtislaptop,Secondary IDE Channel,PCIIDE\IDECHANNEL\4&7F93616&0&1,Secondary IDE Channel,atapi
curtislaptop,CD-ROM Drive,IDE\CDROMSONY_DVD+-RW_DW-Q58A____________________UDS1____\5&2C81F6DE&0&0.0.0,SONY DVD+-RW DW-Q58A,cdrom
